name_tsp,hh_total,hh_male,hh_female,lat,lon
Salin,55605,42523,13082,20.5772,94.65936
Sidoktaya,10780,8532,2248,20.4466,94.24559
Thayet,25972,20084,5888,19.3215,95.17716
Minhla,31622,26495,5127,19.96559,95.0367
Mindon,16809,13394,3415,19.35131067,94.73233488
Kamma,19143,15777,3366,19.02897,95.09594
Aunglan,57609,45664,11945,19.35855,95.21684
Sinbaungwe,28684,23195,5489,19.72291986,95.16185986
Pakokku,66340,45441,20899,21.38358,94.81558
Yesagyo,47332,32014,15318,21.6338783,95.24530058
Myaing,53641,38876,14765,21.61256,94.85432
Pauk,38965,28984,9981,21.45215,94.47374
Seikphyu,23427,17143,6284,20.90651,94.79243
Gangaw,29912,23423,6489,22.17421,94.13582
Tilin,10532,7805,2727,21.69636,94.09278
Saw,15934,12052,3882,21.406,94.136
Aungmyaythazan,49731,36299,13432,21.993206,96.096861
Chanayethazan,33281,23252,10029,21.97535,96.094599
Mahaaungmyay,41927,30302,11625,21.97535,96.094599
Chanmyathazi,53047,40491,12556,21.939404,96.095838
Pyigyitagon,43875,35050,8825,21.901964,96.104181
Amarapura,49626,29295,20331,21.90314,96.04948
Patheingyi,52990,27337,25653,22.00399394,96.16465066
Pyinoolwin,53382,41312,12070,22.01397,96.45634
Madaya,58645,46508,12137,22.21036,96.10639
Singu,34533,28444,6089,22.54838207,95.99655105
Mogoke,35247,25235,10012,22.92139,96.5054
Thabeikkyin,33141,27843,5298,23.50188,96.01367
Kyaukse,57765,45541,12224,21.61325,96.13033
Sintgaing,33579,24965,8614,21.73113711,96.10610982
Myittha,46017,37029,8988,21.3583,96.1603
Tada-U,32627,24865,7762,21.81510017,95.97069475
Myingyan,62340,45081,17259,21.45745,95.39179
Taungtha,49852,36367,13485,21.27603,95.44541
Natogyi,40965,31021,9944,21.4237,95.6545
Kyaukpadaung,61961,44263,17698,20.84248,95.13218
Ngazun,27838,21710,6128,21.89845665,95.68723151
Nyaung-U,54473,40392,14081,21.13197,94.86257
Yamethin,57259,44807,12452,20.4305,96.13747
Pyawbwe,58863,44566,14297,20.59472,96.05094
Meiktila,68439,48510,19929,20.88189,95.86311
Mahlaing,33327,23525,9802,21.09867,95.64698
Thazi,44892,34598,10294,20.85019,96.05838
Wundwin,53569,42673,10896,21.09691,96.03001
Mawlamyine,57457,39309,18148,16.48459,97.62593
Kyaikmaraw,38888,27596,11292,16.37045,97.72411
Chaungzon,27944,18307,9637,16.35125,97.55048
Thanbyuzayat,36234,26763,9471,16.08,97.5675
Mudon,39312,28478,10834,16.1409,97.73403
Ye,53448,40599,12849,15.03752,97.82935
Thaton,48284,33596,14688,16.9197,97.3678
Paung,43726,30421,13305,16.61679,97.45672
Kyaikto,38088,28176,9912,17.31156,97.01989
Bilin,39231,29057,10174,17.21987,97.23931
Sittwe,29036,18383,10653,20.13727,92.88551
Ponnagyun,25335,19050,6285,20.33199,93.0043
Pauktaw,30544,23703,6841,20.18098,93.06817
Rathedaung,24341,15161,9180,20.48215363,92.75605687
Mrauk-U,41525,31260,10265,20.59185,93.18844
Kyauktaw,36495,26629,9866,20.84396,92.97282
Minbya,36628,28326,8302,20.36452,93.27269
Myebon,31339,26101,5238,19.85695,93.75902
Maungdaw,7896,5974,1922,21.26554,92.27141
Buthidaung,11264,8804,2460,20.87498,92.525
Kyaukpyu,37264,29308,7956,19.4239,93.5544
Munaung,14735,11080,3655,18.85506,93.7215
Ramree,22418,17244,5174,19.038619,93.694846
Ann,27359,23240,4119,19.79537,94.04791
Thandwe,31075,25044,6031,18.43755,94.3206
Toungup,35192,28948,6244,19.34234,94.13845
Gwa,17326,14698,2628,17.59369,94.57996
Insein,61676,45309,16367,16.901771,96.095959
Mingaladon,66303,50443,15860,17.04275565,96.1323128
Hmawbi,56469,45464,11005,17.09987,96.0418
Hlegu,58023,45336,12687,17.09875,96.22745
Taikkyi,66999,53817,13182,17.38239,95.69338
Htantabin,34211,28678,5533,17.0174,95.9827
Shwepyithar,73775,56790,16985,16.95504,96.08329
Hlaingtharya,148711,118386,30325,16.85402,96.06893
Thingangyun,43320,30120,13200,16.831011,96.19323
Yankin,14637,9596,5041,16.83601,96.162395
South Okkalapa,32725,22904,9821,16.846249,96.179859
North Okkalapa,64756,47111,17645,16.918775,96.163028
Thaketa,45456,32313,13143,16.793009,96.202959
Dawbon,14409,10303,4106,16.781917,96.18435
Tamwe,35360,23978,11382,16.810182,96.17646
